Trip ID,Date,Pier/Harbor,Depth_caught_fm_ft,Depth (m),Position_General_near FAD_LAT-LONG_OTHER,Lat,Lon,Bait_Chum_Lure,Rubbish_Debris,Fishes- Gut Content Tag ID,Species,Size (units; FL in in),Size (units; FL in cm),Sex?,Other information
Oahu 001,20191126,Heeia,500 fm,914.4,FAD U,,,Lures,None,OAH HEE001,Mahi,35.4,90,Male,Male; Check raw datasheet for fork-length measurement (cm or inches recorded?)
Oahu 002,20191129,Hawaii Kai,60 fm,109.7,HK pinn,,,Live bait (Opelu),None,OAH HAK001,Mahi,30,76.2,Unknown,
Oahu 002,20191129,Hawaii Kai,60 fm,109.7,HK pinn,,,Live bait (Opleu),None,OAH HAK002,Mahi,25,63.5,Unknown,
Oahu 002,20191129,Hawaii Kai,73 fm,133.5,HK pinn,,,Live bait (Opleu),None,OAH HAK003,Mahi,47,119.4,Female,Female; hooked in bird pile
Oahu 003,20191223,Heeia,35 fm,64,Kaneohe Cans,,,Lures,Nearby buoys,OAH HEE002,Mahi,26.5,67.3,Male,Male - stomach appears empty
Oahu 003,20191223,Heeia,35 fm,64,Kaneohe Cans,,,Lures,Nearby buoys,OAH HEE003,Mahi,26,66,Female,Female
Oahu 003,20191223,Heeia,35 fm,64,Kaneohe Cans,,,Lures,Nearby buoys,OAH HEE004,Mahi,28,71.1,Female,Female
Oahu 003,20191223,Heeia,35 fm,64,Kaneohe Cans,,,Lures,Nearby buoys,OAH HEE005,Mahi,27,68.6,Female,Female
Oahu 003,20191223,Heeia,200 fm,365.8,2nm N of San Pan head buoy,,,Lures,None,OAH HEE006,Mahi,29.5,74.9,Female,Female; Regurgitated stomach contents (saved)
Oahu 003,20191223,Heeia,200 fm,365.8,2nm N of San Pan head buoy,,,Lures,None,OAH HEE007,Mahi,29.5,74.9,Female,Female
Oahu 003,20191223,Heeia,200 fm,365.8,2nm N of San Pan head buoy,,,Lures,None,OAH HEE008,Mahi,34,86.4,Female,Female; whole Flying fish in gut  (saved)
Oahu 004,20191229,Hawaii Kai,35 fm,64,on the flats of Penguin banks,"21°1'11.34""N","157°33'55.81""W",Lures,None,OAH HAK004,Mahi ,27,68.6,Female,Female
